codAtom = 2 | codTS = -1
codAtom = 0 | codTS = 5
codAtom = 7 | codTS = -1
codAtom = 0 | codTS = 6
codAtom = 7 | codTS = -1
codAtom = 0 | codTS = 7
codAtom = 7 | codTS = -1
codAtom = 0 | codTS = 8
codAtom = 11 | codTS = -1
codAtom = 4 | codTS = -1
codAtom = 8 | codTS = -1
codAtom = 3 | codTS = -1
codAtom = 0 | codTS = 6
codAtom = 10 | codTS = -1
codAtom = 1 | codTS = 0
codAtom = 8 | codTS = -1
codAtom = 0 | codTS = 7
codAtom = 10 | codTS = -1
codAtom = 1 | codTS = 1
codAtom = 8 | codTS = -1
codAtom = 0 | codTS = 8
codAtom = 10 | codTS = -1
codAtom = 0 | codTS = 6
codAtom = 9 | codTS = -1
codAtom = 0 | codTS = 7
codAtom = 9 | codTS = -1
codAtom = 1 | codTS = 3
codAtom = 8 | codTS = -1
codAtom = 0 | codTS = 5
codAtom = 10 | codTS = -1
codAtom = 1 | codTS = 4
codAtom = 5 | codTS = -1
codAtom = 6 | codTS = -1
