codAtom = 2 | codTS = -1
codAtom = 3 | codTS = -1
codAtom = 4 | codTS = -1
codAtom = 5 | codTS = -1
codAtom = 30 | codTS = -1
codAtom = 7 | codTS = -1
codAtom = 6 | codTS = -1
codAtom = 25 | codTS = -1
codAtom = 26 | codTS = -1
codAtom = 27 | codTS = -1
codAtom = 8 | codTS = -1
codAtom = 0 | codTS = 0
codAtom = 29 | codTS = -1
codAtom = 0 | codTS = 1
codAtom = 29 | codTS = -1
codAtom = 0 | codTS = 2
codAtom = 30 | codTS = -1
codAtom = 0 | codTS = 0
codAtom = 24 | codTS = -1
codAtom = 1 | codTS = 3
codAtom = 30 | codTS = -1
codAtom = 0 | codTS = 1
codAtom = 24 | codTS = -1
codAtom = 0 | codTS = 0
codAtom = 16 | codTS = -1
codAtom = 1 | codTS = 4
codAtom = 16 | codTS = -1
codAtom = 1 | codTS = 5
codAtom = 30 | codTS = -1
codAtom = 0 | codTS = 2
codAtom = 24 | codTS = -1
codAtom = 0 | codTS = 0
codAtom = 16 | codTS = -1
codAtom = 0 | codTS = 0
codAtom = 16 | codTS = -1
codAtom = 1 | codTS = 6
codAtom = 30 | codTS = -1
codAtom = 11 | codTS = -1
codAtom = 0 | codTS = 1
codAtom = 30 | codTS = -1
codAtom = 11 | codTS = -1
codAtom = 0 | codTS = 2
codAtom = 30 | codTS = -1
codAtom = 28 | codTS = -1
