q0 q1 q2 q3 q4 q5 q6
. - + 0 1 2 3 4 5 6 7 8 9
q0
q1 q4 q6
60
q0 q1 0
q0 q2 +
q0 q3 -
q0 q4 1
q0 q4 2
q0 q4 3
q0 q4 4
q0 q4 5
q0 q4 6
q0 q4 7
q0 q4 8
q0 q4 9
q2 q4 1
q2 q4 2
q2 q4 3
q2 q4 4
q2 q4 5
q2 q4 6
q2 q4 7
q2 q4 8
q2 q4 9
q3 q4 1
q3 q4 2
q3 q4 3
q3 q4 4
q3 q4 5
q3 q4 6
q3 q4 7
q3 q4 8
q3 q4 9
q4 q4 0
q4 q4 1
q4 q4 2
q4 q4 3
q4 q4 4
q4 q4 5
q4 q4 6
q4 q4 7
q4 q4 8
q4 q4 9
q4 q5 .
q5 q6 1
q5 q6 2
q5 q6 3
q5 q6 4
q5 q6 5
q5 q6 6
q5 q6 7
q5 q6 8
q5 q6 9
q6 q6 0
q6 q6 1
q6 q6 2
q6 q6 3
q6 q6 4
q6 q6 5
q6 q6 6
q6 q6 7
q6 q6 8
q6 q6 9
